year,raincoast,psc,fram
1979,1.04,1.12,NA
1980,0.99,0.99,NA
1981,0.93,0.92,NA
1982,1.05,0.96,NA
1983,1.15,0.91,NA
1984,1.29,0.97,NA
1985,1.22,0.91,NA
1986,1.34,1.04,NA
1987,1.57,1.43,NA
1988,1.72,1.28,NA
1989,1.52,1.02,NA
1990,1.48,0.89,NA
1991,1.36,0.81,NA
1992,1.29,0.82,0.13125849
1993,1.27,0.72,0.123732851
1994,1.12,0.54,0.093624555
1995,0.82,0.48,0.142224764
1996,0.79,0.57,0.125710605
1997,0.98,0.67,0.111004407
1998,0.92,0.61,0.096475444
1999,0.873,0.58,0.15518168
2000,0.863,0.59,0.090369279
2001,1.59,0.98,0.177284658
2002,1.366,1.43,0.16347183
2003,1.898,1.38,0.125950773
2004,0.885,1.21,0.12564813
2005,0.675,0.95,0.120042483
2006,0.643,0.74,0.140947787
2007,0.342,0.6,0.144232334
2008,0.647,0.68,0.122181715
2009,0.696,0.65,0.075018443
2010,1.231,0.89,0.099207436
2011,1.069,0.83,0.088404303
2012,0.798,0.82,0.117092424
2013,2.246,1.14,0.090761432
2014,1.538,1.2,0.066423917
2015,1.987,1.17,0.072112592
2016,0.754,0.78,0.118383126
2017,1.727,0.66,0.093720794
2018,1.036,0.61,0.119794138
2019,0.925,0.64,0.134239193
2020,1.619,0.69,
