"year","id","age","birth"
1,"1",17,0
2,"1",18,0
3,"1",19,1
4,"1",20,0
5,"1",21,0
6,"1",22,1
7,"1",23,0
8,"1",24,0
9,"1",25,1
10,"1",26,0
11,"1",27,0
12,"1",28,0
13,"1",29,0
14,"1",30,0
15,"1",31,0
16,"1",32,0
17,"1",33,0
18,"1",34,0
19,"1",35,0
20,"1",36,0
21,"1",37,0
22,"1",38,0
1,"2",35,0
2,"2",36,0
3,"2",37,0
4,"2",38,0
5,"2",39,0
6,"2",40,0
7,"2",41,0
8,"2",42,0
1,"3",41,0
2,"3",42,0
1,"4",12,0
2,"4",13,0
3,"4",14,0
4,"4",15,1
5,"4",16,0
6,"4",17,0
7,"4",18,0
8,"4",19,1
9,"4",20,0
10,"4",21,0
11,"4",22,0
12,"4",23,1
13,"4",24,0
14,"4",25,0
15,"4",26,0
16,"4",27,0
17,"4",28,0
18,"4",29,0
19,"4",30,0
20,"4",31,0
21,"4",32,0
22,"4",33,0
23,"4",34,0
24,"4",35,0
25,"4",36,0
26,"4",37,0
9,"5",10,0
10,"5",11,0
11,"5",12,0
12,"5",13,0
13,"5",14,0
14,"5",15,0
15,"5",16,1
16,"5",17,0
17,"5",18,0
18,"5",19,1
19,"5",20,0
20,"5",21,0
21,"5",22,0
22,"5",23,1
23,"5",24,0
24,"5",25,0
25,"5",26,0
26,"5",27,0
27,"5",28,0
28,"5",29,0
29,"5",30,0
30,"5",31,1
31,"5",32,0
32,"5",33,0
33,"5",34,0
34,"5",35,0
35,"5",36,0
11,"6",10,0
12,"6",11,0
13,"6",12,0
14,"6",13,1
15,"6",14,0
16,"6",15,0
17,"6",16,0
18,"6",17,0
19,"6",18,0
20,"6",19,0
21,"6",20,0
22,"6",21,1
23,"6",22,0
24,"6",23,0
25,"6",24,0
26,"6",25,0
27,"6",26,0
28,"6",27,1
29,"6",28,0
30,"6",29,0
31,"6",30,1
32,"6",31,0
33,"6",32,0
34,"6",33,1
35,"6",34,0
36,"6",35,1
37,"6",36,0
38,"6",37,0
39,"6",38,0
40,"6",39,0
41,"6",40,0
42,"6",41,0
43,"6",42,0
9,"7",10,0
10,"7",11,0
11,"7",12,0
12,"7",13,0
13,"7",14,0
14,"7",15,0
15,"7",16,0
16,"7",17,0
17,"7",18,0
18,"7",19,1
