"year","id","age","sex","death","index","birth"
1951,"J001",0,"2",0,NA,1951
1952,"J001",1,"2",0,NA,1951
1953,"J001",2,"2",0,NA,1951
1954,"J001",3,"2",0,NA,1951
1955,"J001",4,"2",0,NA,1951
1956,"J001",5,"2",0,NA,1951
1957,"J001",6,"2",0,NA,1951
1958,"J001",7,"2",0,NA,1951
1959,"J001",8,"2",0,NA,1951
1960,"J001",9,"2",0,NA,1951
1961,"J001",10,"2",0,NA,1951
1962,"J001",11,"2",0,NA,1951
1963,"J001",12,"2",0,NA,1951
1964,"J001",13,"2",0,NA,1951
1965,"J001",14,"2",0,NA,1951
1966,"J001",15,"2",0,NA,1951
1967,"J001",16,"2",0,NA,1951
1968,"J001",17,"2",0,NA,1951
1969,"J001",18,"2",0,NA,1951
1970,"J001",19,"2",0,NA,1951
1971,"J001",20,"2",0,NA,1951
1972,"J001",21,"2",0,NA,1951
1973,"J001",22,"2",0,NA,1951
1974,"J001",23,"2",0,NA,1951
1975,"J001",24,"2",0,NA,1951
1976,"J001",25,"2",0,NA,1951
1977,"J001",26,"2",0,NA,1951
1978,"J001",27,"2",0,NA,1951
1979,"J001",28,"2",0,1.1,1951
1980,"J001",29,"2",0,0.97,1951
1981,"J001",30,"2",0,0.93,1951
1982,"J001",31,"2",0,1,1951
1983,"J001",32,"2",0,0.93,1951
1984,"J001",33,"2",0,0.99,1951
1985,"J001",34,"2",0,0.96,1951
1986,"J001",35,"2",0,1.03,1951
1987,"J001",36,"2",0,1.2,1951
1988,"J001",37,"2",0,1.14,1951
1989,"J001",38,"2",0,0.98,1951
1990,"J001",39,"2",0,0.88,1951
1991,"J001",40,"2",0,0.76,1951
1992,"J001",41,"2",0,0.79,1951
1993,"J001",42,"2",0,0.7,1951
1994,"J001",43,"2",0,0.52,1951
1995,"J001",44,"2",0,0.42,1951
1996,"J001",45,"2",0,0.5,1951
1997,"J001",46,"2",0,0.58,1951
1998,"J001",47,"2",0,0.57,1951
1999,"J001",48,"2",0,0.52,1951
2000,"J001",49,"2",0,0.52,1951
2001,"J001",50,"2",0,0.82,1951
2002,"J001",51,"2",0,1.19,1951
2003,"J001",52,"2",0,1.21,1951
2004,"J001",53,"2",0,1.03,1951
2005,"J001",54,"2",0,0.84,1951
2006,"J001",55,"2",0,0.65,1951
2007,"J001",56,"2",0,0.53,1951
2008,"J001",57,"2",0,0.57,1951
2009,"J001",58,"2",0,0.58,1951
2010,"J001",59,"2",1,0.78,1951
1911,"J002",0,"1",0,NA,1911
1912,"J002",1,"1",0,NA,1911
1913,"J002",2,"1",0,NA,1911
1914,"J002",3,"1",0,NA,1911
1915,"J002",4,"1",0,NA,1911
1916,"J002",5,"1",0,NA,1911
1917,"J002",6,"1",0,NA,1911
1918,"J002",7,"1",0,NA,1911
1919,"J002",8,"1",0,NA,1911
1920,"J002",9,"1",0,NA,1911
1921,"J002",10,"1",0,NA,1911
1922,"J002",11,"1",0,NA,1911
1923,"J002",12,"1",0,NA,1911
1924,"J002",13,"1",0,NA,1911
1925,"J002",14,"1",0,NA,1911
1926,"J002",15,"1",0,NA,1911
1927,"J002",16,"1",0,NA,1911
1928,"J002",17,"1",0,NA,1911
1929,"J002",18,"1",0,NA,1911
1930,"J002",19,"1",0,NA,1911
1931,"J002",20,"1",0,NA,1911
1932,"J002",21,"1",0,NA,1911
1933,"J002",22,"1",0,NA,1911
1934,"J002",23,"1",0,NA,1911
1935,"J002",24,"1",0,NA,1911
1936,"J002",25,"1",0,NA,1911
1937,"J002",26,"1",0,NA,1911
1938,"J002",27,"1",0,NA,1911
1939,"J002",28,"1",0,NA,1911
1940,"J002",29,"1",0,NA,1911
1941,"J002",30,"1",0,NA,1911
1942,"J002",31,"1",0,NA,1911
1943,"J002",32,"1",0,NA,1911
1944,"J002",33,"1",0,NA,1911
1945,"J002",34,"1",0,NA,1911
1946,"J002",35,"1",0,NA,1911
1947,"J002",36,"1",0,NA,1911
1948,"J002",37,"1",0,NA,1911
1949,"J002",38,"1",0,NA,1911
1950,"J002",39,"1",0,NA,1911
1951,"J002",40,"1",0,NA,1911
1952,"J002",41,"1",0,NA,1911
1953,"J002",42,"1",0,NA,1911
1954,"J002",43,"1",0,NA,1911
1955,"J002",44,"1",0,NA,1911
1956,"J002",45,"1",0,NA,1911
1957,"J002",46,"1",0,NA,1911
1958,"J002",47,"1",0,NA,1911
1959,"J002",48,"1",0,NA,1911
1960,"J002",49,"1",0,NA,1911
1961,"J002",50,"1",0,NA,1911
1962,"J002",51,"1",0,NA,1911
1963,"J002",52,"1",0,NA,1911
1964,"J002",53,"1",0,NA,1911
1965,"J002",54,"1",0,NA,1911
1966,"J002",55,"1",0,NA,1911
1967,"J002",56,"1",0,NA,1911
1968,"J002",57,"1",0,NA,1911
1969,"J002",58,"1",0,NA,1911
1970,"J002",59,"1",0,NA,1911
1971,"J002",60,"1",0,NA,1911
1972,"J002",61,"1",0,NA,1911
1973,"J002",62,"1",0,NA,1911
1974,"J002",63,"1",0,NA,1911
1975,"J002",64,"1",0,NA,1911
1976,"J002",65,"1",0,NA,1911
1977,"J002",66,"1",0,NA,1911
1978,"J002",67,"1",0,NA,1911
1979,"J002",68,"1",0,1.1,1911
1980,"J002",69,"1",0,0.97,1911
1981,"J002",70,"1",0,0.93,1911
1982,"J002",71,"1",0,1,1911
1983,"J002",72,"1",0,0.93,1911
1984,"J002",73,"1",0,0.99,1911
1985,"J002",74,"1",0,0.96,1911
1986,"J002",75,"1",0,1.03,1911
1987,"J002",76,"1",0,1.2,1911
1988,"J002",77,"1",0,1.14,1911
1989,"J002",78,"1",0,0.98,1911
1990,"J002",79,"1",0,0.88,1911
1991,"J002",80,"1",0,0.76,1911
1992,"J002",81,"1",0,0.79,1911
1993,"J002",82,"1",0,0.7,1911
1994,"J002",83,"1",0,0.52,1911
1995,"J002",84,"1",0,0.42,1911
1996,"J002",85,"1",0,0.5,1911
1997,"J002",86,"1",0,0.58,1911
1998,"J002",87,"1",0,0.57,1911
1999,"J002",88,"1",0,0.52,1911
2000,"J002",89,"1",0,0.52,1911
2001,"J002",90,"1",0,0.82,1911
2002,"J002",91,"1",0,1.19,1911
2003,"J002",92,"1",0,1.21,1911
2004,"J002",93,"1",0,1.03,1911
2005,"J002",94,"1",0,0.84,1911
2006,"J002",95,"1",0,0.65,1911
2007,"J002",96,"1",0,0.53,1911
2008,"J002",97,"1",0,0.57,1911
2009,"J002",98,"1",0,0.58,1911
2010,"J002",99,"1",0,0.78,1911
2011,"J002",100,"1",0,0.79,1911
2012,"J002",101,"1",0,0.7,1911
2013,"J002",102,"1",0,0.95,1911
2014,"J002",103,"1",0,1.05,1911
2015,"J002",104,"1",0,0.94,1911
2016,"J002",105,"1",0,0.7,1911
2017,"J002",106,"1",1,0.61,1911
1953,"J003",0,"2",0,NA,1953
1954,"J003",1,"2",0,NA,1953
1955,"J003",2,"2",0,NA,1953
1956,"J003",3,"2",0,NA,1953
1957,"J003",4,"2",0,NA,1953
1958,"J003",5,"2",0,NA,1953
1959,"J003",6,"2",0,NA,1953
1960,"J003",7,"2",0,NA,1953
1961,"J003",8,"2",0,NA,1953
1962,"J003",9,"2",0,NA,1953
1963,"J003",10,"2",0,NA,1953
1964,"J003",11,"2",0,NA,1953
1965,"J003",12,"2",0,NA,1953
1966,"J003",13,"2",0,NA,1953
1967,"J003",14,"2",0,NA,1953
1968,"J003",15,"2",0,NA,1953
1969,"J003",16,"2",0,NA,1953
1970,"J003",17,"2",0,NA,1953
1971,"J003",18,"2",0,NA,1953
1972,"J003",19,"2",0,NA,1953
1973,"J003",20,"2",0,NA,1953
1974,"J003",21,"2",0,NA,1953
1975,"J003",22,"2",0,NA,1953
1976,"J003",23,"2",0,NA,1953
1977,"J003",24,"2",0,NA,1953
1978,"J003",25,"2",0,NA,1953
1979,"J003",26,"2",0,1.1,1953
1980,"J003",27,"2",0,0.97,1953
1981,"J003",28,"2",0,0.93,1953
1982,"J003",29,"2",0,1,1953
1983,"J003",30,"2",0,0.93,1953
1984,"J003",31,"2",0,0.99,1953
1985,"J003",32,"2",0,0.96,1953
1986,"J003",33,"2",0,1.03,1953
1987,"J003",34,"2",0,1.2,1953
1988,"J003",35,"2",0,1.14,1953
