year,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6
16,1,17,8,22,8,14
17,8,18,6,22,10,14
18,0,26,5,21,10,15
19,1,26,5,21,9,15
20,2,27,5,21,9,15
21,1,25,4,22,9,17
22,0,20,5,25,9,17
23,0,16,8,25,8,16
24,2,13,8,27,8,15
25,4,14,8,26,8,15
26,7,18,8,26,8,14
27,3,17,10,31,9,13
28,0,20,9,31,10,13
29,2,19,9,32,10,13
30,4,19,9,32,10,12
31,5,22,9,32,10,13
32,1,26,9,30,9,15
33,6,27,9,28,9,17
34,2,29,10,29,9,17
35,6,27,9,31,9,16
36,5,27,10,32,8,15
37,0,30,9,34,8,11
38,2,28,9,33,6,11
39,3,26,8,30,6,12
40,0,26,9,29,6,12
41,4,21,12,29,3,12
42,2,24,12,29,4,12
43,5,21,15,29,3,12
44,3,24,15,30,3,12
45,3,22,17,33,3,12
46,1,21,19,33,3,12
47,3,20,18,31,3,12
48,2,20,16,31,6,13
49,5,20,16,30,5,11
50,5,25,16,30,4,11
51,2,26,16,31,4,9
52,2,27,16,31,5,9
53,0,23,15,32,8,6
54,2,21,15,31,8,5
55,7,19,13,28,11,7
56,0,25,14,28,11,6
57,0,21,13,26,12,7
58,0,19,13,27,12,5
59,1,14,15,29,11,5
60,1,10,18,27,9,8
